Module #,TimeStep,Site_long,Shelter,Side,Settlement_Area
114,12,Waikiki,Low,S,0.588760184
115,12,Waikiki,High,N,0.599628448
115,12,Waikiki,High,S,0.598129377
116,12,Waikiki,Low,N,0.591758325
116,12,Waikiki,Low,S,0.599628448
211,12,Hanauma Bay,High,N,0.486073812
211,12,Hanauma Bay,High,S,0.524674892
212,12,Hanauma Bay,Low,N,0.394255707
212,12,Hanauma Bay,Low,S,0.478203687
213,12,Hanauma Bay,High,N,0.547910494
213,12,Hanauma Bay,High,S,0.599628448
214,12,Hanauma Bay,Low,N,0.384511743
214,12,Hanauma Bay,Low,S,0.324923667
215,12,Hanauma Bay,High,N,0.598878913
215,12,Hanauma Bay,High,S,0.599628448
216,12,Hanauma Bay,Low,N,0.579016221
216,12,Hanauma Bay,Low,S,0.530296409
